Time (hr),Temperature (°c),Forecast (°c),Rain (mm),Rain (%),Cloud (%),Pressure (mb),Wind (km/h),Gust (km/h),Direction (deg),Moonrise (hr),Moonset (hr),Sunrise (hr),Sunset (hr),Weather,Date,Moonrise (min),Moonset (min),Sunrise (min),Sunset (min),Season
15,27,30,0.2,100.0,92.0,1014.0,21.0,27.0,209.4,02:33 AM,03:15 PM,06:38 AM,07:06 PM,Moderate or heavy rain shower,2017-07-19,153.0,915.0,398,1146,wet
18,25,28,0.0,0.0,95.0,1015.0,16.0,23.0,221.2,02:33 AM,03:15 PM,06:38 AM,07:06 PM,Moderate or heavy rain shower,2017-07-19,153.0,915.0,398,1146,wet
21,25,28,0.0,0.0,83.0,1017.0,17.0,24.0,222.5,02:33 AM,03:15 PM,06:38 AM,07:06 PM,Moderate or heavy rain shower,2017-07-19,153.0,915.0,398,1146,wet
0,26,29,0.0,0.0,73.0,1015.0,14.0,21.0,221.6,01:40 AM,02:17 PM,06:38 AM,07:06 PM,Moderate or heavy rain shower,2017-07-18,100.0,857.0,398,1146,wet
3,26,29,0.2,100.0,90.0,1014.0,13.0,19.0,227.1,01:40 AM,02:17 PM,06:38 AM,07:06 PM,Moderate or heavy rain shower,2017-07-18,100.0,857.0,398,1146,wet
6,26,28,0.3,100.0,63.0,1014.0,13.0,18.0,242.3,01:40 AM,02:17 PM,06:38 AM,07:06 PM,Moderate or heavy rain shower,2017-07-18,100.0,857.0,398,1146,wet
9,26,29,4.1,100.0,55.0,1015.0,14.0,24.0,240.9,01:40 AM,02:17 PM,06:38 AM,07:06 PM,Moderate or heavy rain shower,2017-07-18,100.0,857.0,398,1146,wet
12,28,32,8.0,100.0,87.0,1015.0,21.0,27.0,213.3,01:40 AM,02:17 PM,06:38 AM,07:06 PM,Moderate or heavy rain shower,2017-07-18,100.0,857.0,398,1146,wet
15,28,32,0.1,100.0,73.0,1013.0,21.0,32.0,201.4,01:40 AM,02:17 PM,06:38 AM,07:06 PM,Moderate or heavy rain shower,2017-07-18,100.0,857.0,398,1146,wet
18,27,30,0.2,100.0,64.0,1014.0,14.0,20.0,208.8,01:40 AM,02:17 PM,06:38 AM,07:06 PM,Moderate or heavy rain shower,2017-07-18,100.0,857.0,398,1146,wet
21,26,29,0.0,0.0,82.0,1016.0,11.0,16.0,200.2,01:40 AM,02:17 PM,06:38 AM,07:06 PM,Moderate or heavy rain shower,2017-07-18,100.0,857.0,398,1146,wet
0,26,28,2.6,100.0,86.0,1014.0,18.0,26.0,232.5,12:50 AM,01:22 PM,06:38 AM,07:06 PM,Moderate or heavy rain shower,2017-07-17,770.0,802.0,398,1146,wet
3,25,28,2.6,100.0,55.0,1013.0,19.0,32.0,254.6,12:50 AM,01:22 PM,06:38 AM,07:06 PM,Moderate or heavy rain shower,2017-07-17,770.0,802.0,398,1146,wet
6,25,27,4.3,100.0,61.0,1014.0,13.0,19.0,277.1,12:50 AM,01:22 PM,06:38 AM,07:06 PM,Moderate or heavy rain shower,2017-07-17,770.0,802.0,398,1146,wet
9,25,28,2.0,100.0,83.0,1014.0,16.0,25.0,263.9,12:50 AM,01:22 PM,06:38 AM,07:06 PM,Moderate or heavy rain shower,2017-07-17,770.0,802.0,398,1146,wet
12,26,30,5.0,100.0,75.0,1013.0,16.0,20.0,238.7,12:50 AM,01:22 PM,06:38 AM,07:06 PM,Moderate or heavy rain shower,2017-07-17,770.0,802.0,398,1146,wet
15,27,31,2.5,100.0,84.0,1012.0,16.0,34.0,226.4,12:50 AM,01:22 PM,06:38 AM,07:06 PM,Moderate or heavy rain shower,2017-07-17,770.0,802.0,398,1146,wet
18,26,30,3.0,100.0,64.0,1013.0,16.0,23.0,221.8,12:50 AM,01:22 PM,06:38 AM,07:06 PM,Moderate or heavy rain shower,2017-07-17,770.0,802.0,398,1146,wet
21,26,29,0.0,0.0,67.0,1014.0,17.0,24.0,217.2,12:50 AM,01:22 PM,06:38 AM,07:06 PM,Moderate or heavy rain shower,2017-07-17,770.0,802.0,398,1146,wet
0,26,29,0.0,0.0,74.0,1015.0,17.0,24.0,242.7,12:03 AM,12:29 PM,06:38 AM,07:06 PM,Moderate or heavy rain shower,2017-07-16,723.0,1469.0,398,1146,wet
3,25,28,1.8,100.0,81.0,1014.0,18.0,29.0,256.0,12:03 AM,12:29 PM,06:38 AM,07:06 PM,Moderate or heavy rain shower,2017-07-16,723.0,1469.0,398,1146,wet
6,25,28,4.0,100.0,57.0,1015.0,14.0,21.0,264.4,12:03 AM,12:29 PM,06:38 AM,07:06 PM,Moderate or heavy rain shower,2017-07-16,723.0,1469.0,398,1146,wet
9,25,28,2.8,100.0,85.0,1015.0,19.0,33.0,266.5,12:03 AM,12:29 PM,06:38 AM,07:06 PM,Moderate or heavy rain shower,2017-07-16,723.0,1469.0,398,1146,wet
12,28,32,5.6,100.0,70.0,1014.0,19.0,29.0,247.3,12:03 AM,12:29 PM,06:38 AM,07:06 PM,Moderate or heavy rain shower,2017-07-16,723.0,1469.0,398,1146,wet
15,27,30,2.1,100.0,77.0,1012.0,22.0,38.0,242.4,12:03 AM,12:29 PM,06:38 AM,07:06 PM,Moderate or heavy rain shower,2017-07-16,723.0,1469.0,398,1146,wet
18,27,30,4.7,100.0,75.0,1013.0,19.0,28.0,237.5,12:03 AM,12:29 PM,06:38 AM,07:06 PM,Moderate or heavy rain shower,2017-07-16,723.0,1469.0,398,1146,wet
21,26,28,0.0,0.0,28.0,1014.0,18.0,32.0,237.3,12:03 AM,12:29 PM,06:38 AM,07:06 PM,Moderate or heavy rain shower,2017-07-16,723.0,1469.0,398,1146,wet
0,26,29,0.0,0.0,44.0,1015.0,13.0,19.0,242.2,No moonrise,11:39 AM,06:38 AM,07:06 PM,Patchy rain possible,2017-07-15,,699.0,398,1146,wet
3,25,28,0.0,0.0,88.0,1014.0,11.0,16.0,270.1,No moonrise,11:39 AM,06:38 AM,07:06 PM,Patchy rain possible,2017-07-15,,699.0,398,1146,wet
6,25,28,0.0,0.0,90.0,1015.0,10.0,15.0,285.5,No moonrise,11:39 AM,06:38 AM,07:06 PM,Patchy rain possible,2017-07-15,,699.0,398,1146,wet
9,26,29,0.1,100.0,77.0,1015.0,15.0,19.0,266.9,No moonrise,11:39 AM,06:38 AM,07:06 PM,Patchy rain possible,2017-07-15,,699.0,398,1146,wet
12,29,32,0.0,0.0,33.0,1014.0,20.0,25.0,237.4,No moonrise,11:39 AM,06:38 AM,07:06 PM,Patchy rain possible,2017-07-15,,699.0,398,1146,wet
15,29,33,0.0,0.0,31.0,1012.0,19.0,36.0,229.6,No moonrise,11:39 AM,06:38 AM,07:06 PM,Patchy rain possible,2017-07-15,,699.0,398,1146,wet
18,27,30,0.2,100.0,70.0,1013.0,21.0,31.0,229.5,No moonrise,11:39 AM,06:38 AM,07:06 PM,Patchy rain possible,2017-07-15,,699.0,398,1146,wet
21,26,29,0.0,0.0,71.0,1014.0,18.0,26.0,234.9,No moonrise,11:39 AM,06:38 AM,07:06 PM,Patchy rain possible,2017-07-15,,699.0,398,1146,wet
0,26,28,0.0,0.0,91.0,1016.0,13.0,18.0,236.1,11:18 PM,10:49 AM,06:37 AM,07:06 PM,Moderate or heavy rain shower,2017-07-14,1398.0,649.0,397,1146,wet
3,26,28,0.0,0.0,92.0,1014.0,12.0,17.0,248.2,11:18 PM,10:49 AM,06:37 AM,07:06 PM,Moderate or heavy rain shower,2017-07-14,1398.0,649.0,397,1146,wet
6,24,27,0.2,100.0,72.0,1015.0,14.0,20.0,253.3,11:18 PM,10:49 AM,06:37 AM,07:06 PM,Moderate or heavy rain shower,2017-07-14,1398.0,649.0,397,1146,wet
9,26,29,0.0,0.0,65.0,1016.0,13.0,20.0,245.0,11:18 PM,10:49 AM,06:37 AM,07:06 PM,Moderate or heavy rain shower,2017-07-14,1398.0,649.0,397,1146,wet
12,27,30,2.0,100.0,53.0,1015.0,13.0,17.0,224.2,11:18 PM,10:49 AM,06:37 AM,07:06 PM,Moderate or heavy rain shower,2017-07-14,1398.0,649.0,397,1146,wet
15,28,31,0.1,100.0,83.0,1013.0,18.0,27.0,211.3,11:18 PM,10:49 AM,06:37 AM,07:06 PM,Moderate or heavy rain shower,2017-07-14,1398.0,649.0,397,1146,wet
18,27,30,0.2,100.0,60.0,1013.0,13.0,24.0,225.6,11:18 PM,10:49 AM,06:37 AM,07:06 PM,Moderate or heavy rain shower,2017-07-14,1398.0,649.0,397,1146,wet
21,26,29,0.0,0.0,32.0,1015.0,12.0,18.0,233.0,11:18 PM,10:49 AM,06:37 AM,07:06 PM,Moderate or heavy rain shower,2017-07-14,1398.0,649.0,397,1146,wet
0,26,28,0.0,0.0,76.0,1016.0,14.0,20.0,235.9,10:32 PM,10:00 AM,06:37 AM,07:06 PM,Moderate or heavy rain shower,2017-07-13,1352.0,600.0,397,1146,wet
3,25,28,0.0,0.0,83.0,1015.0,13.0,19.0,232.4,10:32 PM,10:00 AM,06:37 AM,07:06 PM,Moderate or heavy rain shower,2017-07-13,1352.0,600.0,397,1146,wet
6,25,28,0.0,0.0,86.0,1016.0,14.0,21.0,255.3,10:32 PM,10:00 AM,06:37 AM,07:06 PM,Moderate or heavy rain shower,2017-07-13,1352.0,600.0,397,1146,wet
9,27,30,3.1,100.0,73.0,1016.0,10.0,23.0,257.7,10:32 PM,10:00 AM,06:37 AM,07:06 PM,Moderate or heavy rain shower,2017-07-13,1352.0,600.0,397,1146,wet
12,28,32,5.4,100.0,85.0,1015.0,15.0,23.0,192.2,10:32 PM,10:00 AM,06:37 AM,07:06 PM,Moderate or heavy rain shower,2017-07-13,1352.0,600.0,397,1146,wet
15,27,30,0.0,0.0,39.0,1013.0,19.0,33.0,206.2,10:32 PM,10:00 AM,06:37 AM,07:06 PM,Moderate or heavy rain shower,2017-07-13,1352.0,600.0,397,1146,wet
18,27,29,0.0,0.0,59.0,1014.0,17.0,29.0,221.9,10:32 PM,10:00 AM,06:37 AM,07:06 PM,Moderate or heavy rain shower,2017-07-13,1352.0,600.0,397,1146,wet
21,26,28,0.0,0.0,80.0,1015.0,15.0,21.0,231.0,10:32 PM,10:00 AM,06:37 AM,07:06 PM,Moderate or heavy rain shower,2017-07-13,1352.0,600.0,397,1146,wet
0,25,27,0.0,0.0,29.0,1017.0,12.0,18.0,232.2,09:47 PM,09:11 AM,06:37 AM,07:06 PM,Patchy rain possible,2017-07-12,1307.0,551.0,397,1146,wet
3,25,27,0.0,0.0,41.0,1016.0,13.0,19.0,241.5,09:47 PM,09:11 AM,06:37 AM,07:06 PM,Patchy rain possible,2017-07-12,1307.0,551.0,397,1146,wet
6,25,27,0.0,0.0,75.0,1016.0,11.0,17.0,246.8,09:47 PM,09:11 AM,06:37 AM,07:06 PM,Patchy rain possible,2017-07-12,1307.0,551.0,397,1146,wet
9,26,28,0.0,0.0,87.0,1017.0,12.0,15.0,231.1,09:47 PM,09:11 AM,06:37 AM,07:06 PM,Patchy rain possible,2017-07-12,1307.0,551.0,397,1146,wet
12,29,32,0.1,100.0,63.0,1016.0,15.0,22.0,204.8,09:47 PM,09:11 AM,06:37 AM,07:06 PM,Patchy rain possible,2017-07-12,1307.0,551.0,397,1146,wet
15,29,32,0.2,100.0,84.0,1014.0,19.0,23.0,210.0,09:47 PM,09:11 AM,06:37 AM,07:06 PM,Patchy rain possible,2017-07-12,1307.0,551.0,397,1146,wet
18,27,30,0.0,0.0,75.0,1014.0,16.0,28.0,217.5,09:47 PM,09:11 AM,06:37 AM,07:06 PM,Patchy rain possible,2017-07-12,1307.0,551.0,397,1146,wet
21,26,29,0.0,0.0,77.0,1016.0,14.0,22.0,220.2,09:47 PM,09:11 AM,06:37 AM,07:06 PM,Patchy rain possible,2017-07-12,1307.0,551.0,397,1146,wet
0,25,27,0.0,0.0,30.0,1016.0,13.0,20.0,212.9,09:01 PM,08:21 AM,06:37 AM,07:06 PM,Overcast,2017-07-11,1261.0,501.0,397,1146,wet
3,25,27,0.0,0.0,63.0,1016.0,13.0,20.0,221.2,09:01 PM,08:21 AM,06:37 AM,07:06 PM,Overcast,2017-07-11,1261.0,501.0,397,1146,wet
6,25,26,0.0,0.0,86.0,1016.0,11.0,17.0,239.0,09:01 PM,08:21 AM,06:37 AM,07:06 PM,Overcast,2017-07-11,1261.0,501.0,397,1146,wet
9,27,29,0.0,0.0,85.0,1017.0,12.0,14.0,230.4,09:01 PM,08:21 AM,06:37 AM,07:06 PM,Overcast,2017-07-11,1261.0,501.0,397,1146,wet
12,28,30,0.0,0.0,67.0,1017.0,16.0,20.0,221.5,09:01 PM,08:21 AM,06:37 AM,07:06 PM,Overcast,2017-07-11,1261.0,501.0,397,1146,wet
15,28,30,0.0,0.0,23.0,1014.0,18.0,23.0,215.3,09:01 PM,08:21 AM,06:37 AM,07:06 PM,Overcast,2017-07-11,1261.0,501.0,397,1146,wet
18,26,28,0.0,0.0,22.0,1014.0,14.0,25.0,221.2,09:01 PM,08:21 AM,06:37 AM,07:06 PM,Overcast,2017-07-11,1261.0,501.0,397,1146,wet
21,25,27,0.0,0.0,12.0,1016.0,14.0,21.0,221.1,09:01 PM,08:21 AM,06:37 AM,07:06 PM,Overcast,2017-07-11,1261.0,501.0,397,1146,wet
0,25,27,0.0,0.0,100.0,1016.0,15.0,22.0,218.9,08:14 PM,07:32 AM,06:37 AM,07:06 PM,Patchy rain possible,2017-07-10,1214.0,452.0,397,1146,wet
3,26,28,0.0,0.0,100.0,1015.0,16.0,22.0,217.4,08:14 PM,07:32 AM,06:37 AM,07:06 PM,Patchy rain possible,2017-07-10,1214.0,452.0,397,1146,wet
6,26,28,0.3,100.0,100.0,1016.0,16.0,22.0,216.0,08:14 PM,07:32 AM,06:37 AM,07:06 PM,Patchy rain possible,2017-07-10,1214.0,452.0,397,1146,wet
9,26,29,0.1,100.0,100.0,1017.0,18.0,23.0,217.6,08:14 PM,07:32 AM,06:37 AM,07:06 PM,Patchy rain possible,2017-07-10,1214.0,452.0,397,1146,wet
12,28,30,0.2,100.0,100.0,1016.0,21.0,31.0,222.8,08:14 PM,07:32 AM,06:37 AM,07:06 PM,Patchy rain possible,2017-07-10,1214.0,452.0,397,1146,wet
15,27,30,0.1,100.0,64.0,1014.0,21.0,33.0,223.7,08:14 PM,07:32 AM,06:37 AM,07:06 PM,Patchy rain possible,2017-07-10,1214.0,452.0,397,1146,wet
18,26,28,0.0,0.0,22.0,1014.0,17.0,30.0,222.4,08:14 PM,07:32 AM,06:37 AM,07:06 PM,Patchy rain possible,2017-07-10,1214.0,452.0,397,1146,wet
21,25,27,0.0,0.0,13.0,1016.0,15.0,23.0,217.1,08:14 PM,07:32 AM,06:37 AM,07:06 PM,Patchy rain possible,2017-07-10,1214.0,452.0,397,1146,wet
0,25,27,0.0,0.0,100.0,1015.0,15.0,21.0,224.9,07:27 PM,06:43 AM,06:36 AM,07:06 PM,Moderate or heavy rain shower,2017-07-09,1167.0,403.0,396,1146,wet
3,25,27,0.5,100.0,99.0,1015.0,13.0,22.0,221.2,07:27 PM,06:43 AM,06:36 AM,07:06 PM,Moderate or heavy rain shower,2017-07-09,1167.0,403.0,396,1146,wet
6,24,27,2.9,100.0,94.0,1015.0,10.0,14.0,228.0,07:27 PM,06:43 AM,06:36 AM,07:06 PM,Moderate or heavy rain shower,2017-07-09,1167.0,403.0,396,1146,wet
9,26,28,1.9,100.0,98.0,1016.0,8.0,17.0,224.4,07:27 PM,06:43 AM,06:36 AM,07:06 PM,Moderate or heavy rain shower,2017-07-09,1167.0,403.0,396,1146,wet
12,27,30,3.9,100.0,90.0,1015.0,18.0,24.0,210.7,07:27 PM,06:43 AM,06:36 AM,07:06 PM,Moderate or heavy rain shower,2017-07-09,1167.0,403.0,396,1146,wet
15,26,29,0.1,100.0,60.0,1014.0,21.0,31.0,210.4,07:27 PM,06:43 AM,06:36 AM,07:06 PM,Moderate or heavy rain shower,2017-07-09,1167.0,403.0,396,1146,wet
18,25,28,0.0,0.0,66.0,1014.0,16.0,29.0,210.8,07:27 PM,06:43 AM,06:36 AM,07:06 PM,Moderate or heavy rain shower,2017-07-09,1167.0,403.0,396,1146,wet
21,25,28,0.0,0.0,99.0,1015.0,18.0,24.0,215.7,07:27 PM,06:43 AM,06:36 AM,07:06 PM,Moderate or heavy rain shower,2017-07-09,1167.0,403.0,396,1146,wet
0,25,27,0.0,0.0,92.0,1015.0,12.0,16.0,235.4,06:39 PM,05:54 AM,06:36 AM,07:06 PM,Moderate or heavy rain shower,2017-07-08,1119.0,354.0,396,1146,wet
3,24,27,0.3,100.0,73.0,1014.0,7.0,10.0,283.2,06:39 PM,05:54 AM,06:36 AM,07:06 PM,Moderate or heavy rain shower,2017-07-08,1119.0,354.0,396,1146,wet
6,24,27,0.4,100.0,79.0,1015.0,8.0,11.0,296.3,06:39 PM,05:54 AM,06:36 AM,07:06 PM,Moderate or heavy rain shower,2017-07-08,1119.0,354.0,396,1146,wet
9,27,30,1.4,100.0,53.0,1015.0,7.0,13.0,264.2,06:39 PM,05:54 AM,06:36 AM,07:06 PM,Moderate or heavy rain shower,2017-07-08,1119.0,354.0,396,1146,wet
12,26,29,3.0,100.0,68.0,1014.0,18.0,25.0,181.2,06:39 PM,05:54 AM,06:36 AM,07:06 PM,Moderate or heavy rain shower,2017-07-08,1119.0,354.0,396,1146,wet
15,27,30,1.7,100.0,75.0,1013.0,16.0,31.0,194.9,06:39 PM,05:54 AM,06:36 AM,07:06 PM,Moderate or heavy rain shower,2017-07-08,1119.0,354.0,396,1146,wet
18,26,28,0.0,0.0,77.0,1014.0,16.0,25.0,217.9,06:39 PM,05:54 AM,06:36 AM,07:06 PM,Moderate or heavy rain shower,2017-07-08,1119.0,354.0,396,1146,wet
21,25,27,0.0,0.0,83.0,1015.0,16.0,25.0,221.7,06:39 PM,05:54 AM,06:36 AM,07:06 PM,Moderate or heavy rain shower,2017-07-08,1119.0,354.0,396,1146,wet
0,24,27,2.5,100.0,85.0,1017.0,8.0,15.0,247.6,05:51 PM,05:07 AM,06:36 AM,07:06 PM,Moderate or heavy rain shower,2017-07-07,1071.0,307.0,396,1146,wet
3,24,27,1.4,100.0,73.0,1015.0,5.0,9.0,334.8,05:51 PM,05:07 AM,06:36 AM,07:06 PM,Moderate or heavy rain shower,2017-07-07,1071.0,307.0,396,1146,wet
6,24,26,1.5,100.0,90.0,1016.0,4.0,5.0,12.0,05:51 PM,05:07 AM,06:36 AM,07:06 PM,Moderate or heavy rain shower,2017-07-07,1071.0,307.0,396,1146,wet
9,25,28,0.0,0.0,87.0,1016.0,3.0,8.0,171.2,05:51 PM,05:07 AM,06:36 AM,07:06 PM,Moderate or heavy rain shower,2017-07-07,1071.0,307.0,396,1146,wet
12,27,31,0.3,100.0,74.0,1015.0,14.0,21.0,190.8,05:51 PM,05:07 AM,06:36 AM,07:06 PM,Moderate or heavy rain shower,2017-07-07,1071.0,307.0,396,1146,wet
15,27,30,0.8,100.0,84.0,1013.0,16.0,30.0,198.5,05:51 PM,05:07 AM,06:36 AM,07:06 PM,Moderate or heavy rain shower,2017-07-07,1071.0,307.0,396,1146,wet
18,25,28,0.2,100.0,77.0,1014.0,14.0,23.0,203.8,05:51 PM,05:07 AM,06:36 AM,07:06 PM,Moderate or heavy rain shower,2017-07-07,1071.0,307.0,396,1146,wet
21,25,28,0.0,0.0,74.0,1015.0,12.0,15.0,212.1,05:51 PM,05:07 AM,06:36 AM,07:06 PM,Moderate or heavy rain shower,2017-07-07,1071.0,307.0,396,1146,wet
0,26,28,1.8,100.0,67.0,1016.0,14.0,25.0,227.2,05:02 PM,04:20 AM,06:36 AM,07:06 PM,Moderate or heavy rain shower,2017-07-06,1022.0,260.0,396,1146,wet
3,25,27,0.6,100.0,88.0,1015.0,7.0,17.0,247.8,05:02 PM,04:20 AM,06:36 AM,07:06 PM,Moderate or heavy rain shower,2017-07-06,1022.0,260.0,396,1146,wet
6,25,27,3.6,100.0,86.0,1016.0,8.0,13.0,255.4,05:02 PM,04:20 AM,06:36 AM,07:06 PM,Moderate or heavy rain shower,2017-07-06,1022.0,260.0,396,1146,wet
9,24,27,1.2,100.0,100.0,1016.0,8.0,10.0,211.9,05:02 PM,04:20 AM,06:36 AM,07:06 PM,Moderate or heavy rain shower,2017-07-06,1022.0,260.0,396,1146,wet
12,24,27,3.5,100.0,100.0,1016.0,17.0,24.0,184.3,05:02 PM,04:20 AM,06:36 AM,07:06 PM,Moderate or heavy rain shower,2017-07-06,1022.0,260.0,396,1146,wet
15,24,26,1.6,100.0,100.0,1014.0,17.0,24.0,192.9,05:02 PM,04:20 AM,06:36 AM,07:06 PM,Moderate or heavy rain shower,2017-07-06,1022.0,260.0,396,1146,wet
18,24,26,2.3,100.0,100.0,1015.0,10.0,18.0,213.4,05:02 PM,04:20 AM,06:36 AM,07:06 PM,Moderate or heavy rain shower,2017-07-06,1022.0,260.0,396,1146,wet
21,24,27,0.7,100.0,81.0,1016.0,11.0,19.0,242.2,05:02 PM,04:20 AM,06:36 AM,07:06 PM,Moderate or heavy rain shower,2017-07-06,1022.0,260.0,396,1146,wet
0,25,28,0.0,0.0,35.0,1015.0,13.0,20.0,236.3,04:15 PM,03:36 AM,06:36 AM,07:05 PM,Moderate or heavy rain shower,2017-07-05,975.0,216.0,396,1145,wet
3,26,28,0.0,0.0,32.0,1014.0,12.0,18.0,255.4,04:15 PM,03:36 AM,06:36 AM,07:05 PM,Moderate or heavy rain shower,2017-07-05,975.0,216.0,396,1145,wet
6,26,28,2.6,100.0,75.0,1015.0,12.0,17.0,265.3,04:15 PM,03:36 AM,06:36 AM,07:05 PM,Moderate or heavy rain shower,2017-07-05,975.0,216.0,396,1145,wet
9,27,30,0.4,100.0,74.0,1015.0,12.0,16.0,249.8,04:15 PM,03:36 AM,06:36 AM,07:05 PM,Moderate or heavy rain shower,2017-07-05,975.0,216.0,396,1145,wet
12,27,30,1.0,100.0,80.0,1014.0,16.0,20.0,236.3,04:15 PM,03:36 AM,06:36 AM,07:05 PM,Moderate or heavy rain shower,2017-07-05,975.0,216.0,396,1145,wet
15,27,30,1.2,100.0,86.0,1013.0,19.0,25.0,215.0,04:15 PM,03:36 AM,06:36 AM,07:05 PM,Moderate or heavy rain shower,2017-07-05,975.0,216.0,396,1145,wet
18,27,29,0.9,100.0,77.0,1015.0,14.0,20.0,220.7,04:15 PM,03:36 AM,06:36 AM,07:05 PM,Moderate or heavy rain shower,2017-07-05,975.0,216.0,396,1145,wet
21,25,28,0.1,100.0,87.0,1016.0,14.0,18.0,218.2,04:15 PM,03:36 AM,06:36 AM,07:05 PM,Moderate or heavy rain shower,2017-07-05,975.0,216.0,396,1145,wet
0,26,29,0.0,0.0,29.0,1014.0,13.0,18.0,224.3,03:29 PM,02:52 AM,06:35 AM,07:05 PM,Heavy rain at times,2017-07-04,929.0,172.0,395,1145,wet
3,26,29,1.0,100.0,77.0,1013.0,13.0,23.0,240.2,03:29 PM,02:52 AM,06:35 AM,07:05 PM,Heavy rain at times,2017-07-04,929.0,172.0,395,1145,wet
6,25,28,1.3,100.0,58.0,1014.0,13.0,18.0,241.9,03:29 PM,02:52 AM,06:35 AM,07:05 PM,Heavy rain at times,2017-07-04,929.0,172.0,395,1145,wet
9,27,30,0.0,0.0,63.0,1015.0,15.0,19.0,235.2,03:29 PM,02:52 AM,06:35 AM,07:05 PM,Heavy rain at times,2017-07-04,929.0,172.0,395,1145,wet
12,29,33,1.3,100.0,73.0,1013.0,18.0,22.0,213.7,03:29 PM,02:52 AM,06:35 AM,07:05 PM,Heavy rain at times,2017-07-04,929.0,172.0,395,1145,wet
15,27,31,0.5,100.0,87.0,1012.0,17.0,33.0,208.5,03:29 PM,02:52 AM,06:35 AM,07:05 PM,Heavy rain at times,2017-07-04,929.0,172.0,395,1145,wet
18,27,30,0.1,100.0,86.0,1013.0,19.0,28.0,227.7,03:29 PM,02:52 AM,06:35 AM,07:05 PM,Heavy rain at times,2017-07-04,929.0,172.0,395,1145,wet
21,25,28,0.2,100.0,79.0,1014.0,15.0,23.0,229.2,03:29 PM,02:52 AM,06:35 AM,07:05 PM,Heavy rain at times,2017-07-04,929.0,172.0,395,1145,wet
0,27,30,1.6,100.0,100.0,1015.0,14.0,19.0,248.6,02:42 PM,02:10 AM,06:35 AM,07:05 PM,Moderate or heavy rain shower,2017-07-03,882.0,130.0,395,1145,wet
3,25,28,1.1,100.0,87.0,1013.0,16.0,24.0,274.6,02:42 PM,02:10 AM,06:35 AM,07:05 PM,Moderate or heavy rain shower,2017-07-03,882.0,130.0,395,1145,wet
6,26,28,2.8,100.0,58.0,1014.0,13.0,20.0,279.4,02:42 PM,02:10 AM,06:35 AM,07:05 PM,Moderate or heavy rain shower,2017-07-03,882.0,130.0,395,1145,wet
9,28,31,1.8,100.0,79.0,1015.0,14.0,27.0,271.8,02:42 PM,02:10 AM,06:35 AM,07:05 PM,Moderate or heavy rain shower,2017-07-03,882.0,130.0,395,1145,wet
12,29,33,2.9,100.0,70.0,1014.0,19.0,23.0,224.7,02:42 PM,02:10 AM,06:35 AM,07:05 PM,Moderate or heavy rain shower,2017-07-03,882.0,130.0,395,1145,wet
15,28,31,1.8,100.0,77.0,1012.0,20.0,28.0,226.0,02:42 PM,02:10 AM,06:35 AM,07:05 PM,Moderate or heavy rain shower,2017-07-03,882.0,130.0,395,1145,wet
18,27,30,0.0,0.0,37.0,1013.0,14.0,20.0,233.7,02:42 PM,02:10 AM,06:35 AM,07:05 PM,Moderate or heavy rain shower,2017-07-03,882.0,130.0,395,1145,wet
21,26,29,0.0,0.0,21.0,1014.0,10.0,14.0,240.7,02:42 PM,02:10 AM,06:35 AM,07:05 PM,Moderate or heavy rain shower,2017-07-03,882.0,130.0,395,1145,wet
0,26,29,0.0,0.0,72.0,1015.0,13.0,18.0,230.8,01:57 PM,01:29 AM,06:35 AM,07:05 PM,Moderate or heavy rain shower,2017-07-02,837.0,89.0,395,1145,wet
3,25,28,0.7,100.0,61.0,1014.0,10.0,15.0,241.6,01:57 PM,01:29 AM,06:35 AM,07:05 PM,Moderate or heavy rain shower,2017-07-02,837.0,89.0,395,1145,wet
6,26,29,0.1,100.0,90.0,1014.0,11.0,16.0,281.8,01:57 PM,01:29 AM,06:35 AM,07:05 PM,Moderate or heavy rain shower,2017-07-02,837.0,89.0,395,1145,wet
9,26,29,0.6,100.0,72.0,1015.0,11.0,19.0,240.8,01:57 PM,01:29 AM,06:35 AM,07:05 PM,Moderate or heavy rain shower,2017-07-02,837.0,89.0,395,1145,wet
12,27,30,2.0,100.0,55.0,1014.0,11.0,20.0,196.7,01:57 PM,01:29 AM,06:35 AM,07:05 PM,Moderate or heavy rain shower,2017-07-02,837.0,89.0,395,1145,wet
15,27,31,0.3,100.0,53.0,1012.0,18.0,26.0,210.3,01:57 PM,01:29 AM,06:35 AM,07:05 PM,Moderate or heavy rain shower,2017-07-02,837.0,89.0,395,1145,wet
18,27,30,0.0,0.0,58.0,1013.0,15.0,24.0,237.0,01:57 PM,01:29 AM,06:35 AM,07:05 PM,Moderate or heavy rain shower,2017-07-02,837.0,89.0,395,1145,wet
21,27,30,1.3,100.0,95.0,1014.0,12.0,23.0,251.4,01:57 PM,01:29 AM,06:35 AM,07:05 PM,Moderate or heavy rain shower,2017-07-02,837.0,89.0,395,1145,wet
0,26,29,0.0,0.0,73.0,1015.0,10.0,16.0,242.4,01:11 PM,12:46 AM,06:35 AM,07:05 PM,Moderate or heavy rain shower,2017-07-01,791.0,766.0,395,1145,wet
3,26,28,1.9,100.0,84.0,1014.0,10.0,21.0,273.2,01:11 PM,12:46 AM,06:35 AM,07:05 PM,Moderate or heavy rain shower,2017-07-01,791.0,766.0,395,1145,wet
